case,a,b,dr,dz,U,normalized_error
0,2.5028299013609305,0.3498843396162063,1.0786306267948882,0.24550239713437635,4.38392376031336,3.19557906903521e-16
1,0.1044813795087286,0.15725017624536328,0.03848066484188018,0.2718766528761734,0.37535289299949604,2.234242853507218e-16
2,0.5538773064795309,0.8731959694745985,0.5710250489769837,1.0004366893943302,2.9622583523820176,6.754828278619894e-16
3,0.4959977455134682,1.2196652493199,0.5300307656858485,6.637796454141684,2.0551583461907375,6.307803085919349e-16
4,0.11453236132273072,2.2627019564657997,0.09561778510883047,0.9456323427491181,2.044536374137491,1.3010281105059783e-16
5,0.843310156363895,0.36190480088946353,2.933003002881865,0.3248030897363595,2.95882370371067,1.539398812190395e-16
6,0.14165336832627842,2.4628922274687746,0.619557929139635,11.995434699231712,4.722020764094439,1.6496731944994384e-16
7,0.10485710530364657,1.1733674614871832,0.14803672989781475,6.102571962639403,6.309804298072896,3.016005760442402e-16
8,0.25826052274794,1.2795611861587235,0.2065008991113853,1.4528709791509575,0.908577960978639,1.9402799179041662e-16
9,0.06325795575185922,0.564103399298698,0.3666920640258294,1.547245551487605,5.303341429536872,3.50417557225924e-16
10,0.34038080886319455,0.08894994047927808,0.3219764997017811,0.41141083075747265,0.3815251927444136,1.1223471589182398e-16
11,0.14155904535210342,0.16427545021802653,0.11987453875988953,0.6309381430384863,7.275532703372044,1.0361109256249419e-16
12,0.45311208028535116,0.1737921752951845,1.5544866206123915,0.1194925288290387,7.943439412977986,5.804877406495777e-16
13,0.3180042027623077,0.1243799763216617,0.44633840279019055,0.0566743817536768,5.076643715189317,7.687944922624026e-17
14,2.0302022028152744,0.13979127281626977,0.7384321525085131,0.1866544908738542,1.825198212816012,0.0
15,0.0727526100832505,0.08718919443593673,0.07179188053606374,0.3393988113133625,0.5410950444737376,1.5978625355128267e-16
16,0.08586516369119396,0.06749294793184492,0.1952045595837482,0.33762169009151216,6.59247183816512,9.87074705403279e-16
17,0.0825399385318092,1.535630756357503,0.07033654585034757,0.5637678523070978,9.790555096894241,5.4791266405535913e-17
18,1.03466913841584,0.12199831932620943,1.9344571098372068,0.12639003757775702,5.83394929115654,0.0
19,0.916120022494219,0.10285019035125455,4.112273742409684,0.40217119798805895,0.511401665804112,4.0035129372813036e-16
20,0.21518555879239118,0.2693780602628803,0.2866647542144875,0.1825255948813202,3.930410211030678,0.0
21,0.23189917142381694,0.1465254595518589,0.936833756876587,0.5511245904762064,8.981318224508279,4.000248727471984e-16
22,0.2565583322732085,0.5878838272811555,0.5045169981756392,0.27111387036675744,0.547410416212053,2.997629471115628e-16
23,1.8514775394891334,0.80398218233548,9.249489129080505,0.257546456241275,0.7198798860586858,4.1829554363534417e-16
24,2.406971945516088,0.751011135634503,7.803520334760944,0.25919214823955394,0.3405755462124519,2.104340983125318e-16
25,0.07431360875888482,0.06667393328334985,0.03629215388456656,0.1417133042474077,0.6250500341277068,3.0708363562275696e-16
26,0.7443491684630859,0.3544789290539745,0.9208206702297652,0.3280929113108542,1.3974777884549516,6.535819528054913e-16
27,1.020408696144892,0.06900371206998054,0.7978716555997777,0.05595008135010915,8.860072553226166,2.0870007964269845e-16
28,0.19162804735818076,0.24518577243279477,0.08209785860447248,1.1950515660056376,2.522534512304562,1.4098267105821264e-16
29,0.2412557292143355,0.08381608013676826,0.6100499814440073,0.05673654710170839,0.3892603553587414,2.704980440619026e-16
30,0.31658551921947076,0.10921102236512066,0.7138235312796886,0.11059235409633804,0.8972544633292614,6.606515706496408e-16
31,2.10300194072301,0.3300041670094494,7.911520411739953,0.351994808035659,1.3513351666583264,5.535399018570196e-17
32,0.1534920956929622,1.5992571800096937,0.15695362617469083,2.520595205048348,1.3578511808627378,1.116293867272677e-16
33,0.11548931121329403,0.94009193217127,0.11660740380813103,2.4174761162526455,3.5822220510756977,6.135090292849465e-17
34,2.345909448978523,0.9617471365949624,1.9137372328096522,1.3140287518980571,2.8885803420699205,2.797464984915973e-16
35,0.433867259284833,1.9168910858368393,0.19456363592905368,0.727939414376153,9.436694366712786,2.22252985588711e-16
36,0.9925044525356999,0.18303862873738327,2.256437333012597,0.5708606329413034,0.8853844927815735,3.932660069634325e-16
37,0.14304936050586672,2.0737924079760925,0.08674106428093992,2.9603171057840747,5.24824408513429,2.1262878035432295e-16
38,0.08632450650526405,0.2407498367037431,0.035328834717550946,0.4453800842890597,0.34239855101410804,2.150438156672254e-16
39,0.8682786096745254,0.14528207102780588,2.1454308076272426,0.05533539688299794,9.516926199180924,1.182165748593879e-16
