cutout,frame,width_cells,reference_grid_peak,base_peak,radial_peak,axial_peak,sampled_peak_ratio,error_tolerance,conditional_status,model_retention_lower,model_retention_upper,false_reassurance_on_grid,false_underresolution_on_grid
x129_y129_z129,laboratory,0.35,1.3280243038610118,1.3262058189278234,1.3104241448231508,1.319503448259816,0.9986306839958414,0.0001328024303861012,resolved,0.994169240510572,0.9944391326249352,False,False
x129_y129_z129,laboratory,0.5,1.3280243038610118,1.3162505393356214,1.2916427236783776,1.3060011109018141,0.9911343757104745,0.0001328024303861012,resolved,0.990926292323024,0.9911998417150683,False,False
x129_y129_z129,laboratory,0.7,1.3280243038610118,1.304163032802108,1.2634678531665702,1.2874613286646095,0.9820325042323917,0.0001328024303861012,resolved,0.9848846485878906,0.9851637746613306,False,False
x129_y129_z129,cutout_mean_subtracted,0.35,0.46202611740756594,0.4577132702022852,0.43689518975422764,0.43589243975654773,0.9906653605872322,4.62026117407566e-05,resolved,0.9671539637081653,0.9674452693746866,False,False
x129_y129_z129,cutout_mean_subtracted,0.5,0.46202611740756594,0.4384790267489928,0.42161630066899275,0.42382233773208333,0.9490351524050282,4.62026117407566e-05,resolved,0.9749956439765705,0.9752931239297519,False,False
x129_y129_z129,cutout_mean_subtracted,0.7,0.46202611740756594,0.4271274950556355,0.3991566078487007,0.4027975829341382,0.9244661264005009,4.62026117407566e-05,resolved,0.9563565250646467,0.9566749716596991,False,False
x129_y129_z641,laboratory,0.35,1.0979896783593277,1.0976079274583475,1.0961561279905412,1.093735780139071,0.9996523183154593,0.00010979896783593277,resolved,0.9982422322542626,0.9985103039286263,False,False
x129_y129_z641,laboratory,0.5,1.0979896783593277,1.0955015590694894,1.093078349682889,1.0893303554244782,0.9977339319859945,0.00010979896783593277,resolved,0.9972325742708298,0.9975019638392207,False,False
x129_y129_z641,laboratory,0.7,1.0979896783593277,1.0924492060379116,1.0889374149759143,1.0819346725035817,0.994953985059591,0.00010979896783593277,resolved,0.9955329770008899,0.9958045963719038,False,False
x129_y129_z641,cutout_mean_subtracted,0.35,0.15834188522366824,0.15771543238904603,0.15542544954546653,0.15145315614856997,0.9960436694704166,1.5834188522366823e-05,resolved,0.9808643651023793,0.9811479432425311,False,False
x129_y129_z641,cutout_mean_subtracted,0.5,0.15834188522366824,0.1543303290431102,0.15044517155480677,0.14483199272898784,0.9746652240821091,1.5834188522366823e-05,resolved,0.968647957734594,0.9689480539366936,False,False
x129_y129_z641,cutout_mean_subtracted,0.7,0.15834188522366824,0.14962923465185998,0.1444663206534329,0.13459573252684842,0.9449757051995367,1.5834188522366823e-05,resolved,0.9483745920071169,0.9487046986006944,False,False
x129_y641_z129,laboratory,0.35,1.1593216692137827,1.1574845089817882,1.1411781935391114,1.1499543333136995,0.9984153145060763,0.00011593216692137828,resolved,0.9929347988537792,0.9932054586833002,False,False
x129_y641_z129,laboratory,0.5,1.1593216692137827,1.1476693294762328,1.1267176629666316,1.1354135078603549,0.9899490020354298,0.00011593216692137828,resolved,0.9900878863319043,0.9903627234384792,False,False
x129_y641_z129,laboratory,0.7,1.1593216692137827,1.1348892098341465,1.1092687088772322,1.1131002840168533,0.9789252111571368,0.00011593216692137828,resolved,0.9856394254913847,0.9859208582858944,False,False
x129_y641_z129,cutout_mean_subtracted,0.35,0.3210071416704857,0.31935562740239304,0.30624424436400227,0.3107854654238727,0.994855210200314,3.210071416704857e-05,resolved,0.9764913641878468,0.9767729336045212,False,False
x129_y641_z129,cutout_mean_subtracted,0.5,0.3210071416704857,0.3104128787284027,0.29292319147856427,0.2958056502525539,0.9669967998626084,3.210071416704857e-05,resolved,0.9635284027314298,0.9638277034436661,False,False
x129_y641_z129,cutout_mean_subtracted,0.7,0.3210071416704857,0.29827458616655267,0.27520791487207713,0.2713719673112152,0.9291836456172429,3.210071416704857e-05,resolved,0.9380599985919809,0.9383942084406501,False,False
x129_y641_z641,laboratory,0.35,1.926306923242512,1.924656073858744,1.9152493536610935,1.9223038525184162,0.9991429977415077,0.0001926306923242512,resolved,0.9978231702639019,0.9980909473845168,False,False
x129_y641_z641,laboratory,0.5,1.926306923242512,1.9161380761991074,1.9128481082734055,1.9174487022720605,0.9947210660353711,0.0001926306923242512,model_inconsistent,,,False,False
x129_y641_z641,laboratory,0.7,1.926306923242512,1.911852877314355,1.903109189269821,1.911801346259474,0.992496498998287,0.0001926306923242512,resolved,0.9983265312592534,0.998537579246243,False,False
x129_y641_z641,cutout_mean_subtracted,0.35,0.3348359811755836,0.3356633412516295,0.340789697726984,0.337396907055709,1.0024709413640107,3.348359811755836e-05,model_inconsistent,,,False,False
x129_y641_z641,cutout_mean_subtracted,0.5,0.3348359811755836,0.3392971500169423,0.3378371341700514,0.3400284185477816,1.0133234451855975,3.348359811755836e-05,model_inconsistent,,,False,False
x129_y641_z641,cutout_mean_subtracted,0.7,0.3348359811755836,0.3409291007625458,0.3278050168107448,0.3390000948807923,1.0181973262418504,3.348359811755836e-05,resolved,0.9847588455075111,0.9850264065669871,False,False
x641_y129_z129,laboratory,0.35,0.2717867401937538,0.27079433377708606,0.26447168285216893,0.2632994016734397,0.9963485841290113,2.7178674019375384e-05,resolved,0.9823395307728948,0.9826192272384289,False,False
x641_y129_z129,laboratory,0.5,0.2717867401937538,0.2652442466654301,0.25455712602182823,0.25313744450902476,0.9759278413521586,2.7178674019375384e-05,resolved,0.9697559965165398,0.9700503445458479,False,False
x641_y129_z129,laboratory,0.7,0.2717867401937538,0.2570086813783133,0.23931256904759668,0.23723684999281616,0.9456262700494313,2.7178674019375384e-05,resolved,0.9469270250435632,0.9472479295257806,False,False
x641_y129_z129,cutout_mean_subtracted,0.35,0.27016913039765655,0.2689865282048435,0.2602289884311988,0.26129278285547014,0.9956227338368657,2.7016913039765657e-05,resolved,0.9788263218396727,0.9791074740006825,False,False
x641_y129_z129,cutout_mean_subtracted,0.5,0.27016913039765655,0.26238815207470734,0.2476018775870241,0.2500469244182297,0.9711996025915449,2.7016913039765657e-05,resolved,0.9635345977310664,0.9638325946768392,False,False
x641_y129_z129,cutout_mean_subtracted,0.7,0.27016913039765655,0.2526143017308472,0.22752097303095073,0.23235356756683997,0.9350228183324618,2.7016913039765657e-05,resolved,0.9342330609541645,0.9345625047164579,False,False
x641_y129_z641,laboratory,0.35,0.5281111518624151,0.5281166380148893,0.5282349382984767,0.5279017172888665,1.00001038825341,5.281111518624151e-05,model_inconsistent,,,False,False
x641_y129_z641,laboratory,0.5,0.5281111518624151,0.5280821656049131,0.5278656181117846,0.5275311365091154,0.9999451133394934,5.281111518624151e-05,resolved,0.999381342840779,0.9996484122136446,False,False
