tau,a,b,true_peak,measured_peak,energy,retention
1.0,1.0,1.0,1.0,0.9992004797441281,7.568142404343694,0.9992004797441281
0.9682778562612492,0.9840111057611338,0.9841697223950234,1.0164125060084885,1.015573324386686,7.45073805621381,0.999174369051107
0.9375620069258802,0.9682778562612491,0.9685900424790973,1.033094382370456,1.0322135724696084,7.335154997935961,0.9991474061655176
0.9078205301781858,0.9527961640236519,0.9532569932212371,1.0500500501284469,1.0491255475374117,7.221364975899634,0.9991195633094613
0.8790225168308843,0.9375620069258802,0.9381666703896596,1.0672840028853938,1.0663136408660392,7.109340174791654,0.999090811801984
0.8511380382023764,0.9225714271547631,0.9233152315576547,1.084800807995514,1.0837823124149168,6.999053210796903,0.9990611220298783
0.8241381150130023,0.9078205301781858,0.9086988951251938,1.1026051077747536,1.101536091786771,6.890477124904494,0.9990304634175511
0.7979946872679766,0.8933054837332952,0.8943139393560263,1.1207016207310971,1.1195795791949437,6.7835853763178156,0.998998804395927
0.7726805850957023,0.8790225168308843,0.8801567014300202,1.1390951428150693,1.137917446437933,6.678351835966764,0.9989661123703627
0.7481695005111544,0.8649679187756933,0.8662235765105025,1.1577905486907616,1.1565544378808437,6.574750780120659,0.9989323536875337
0.72443596007499,0.8511380382023764,0.8525110168263654,1.1767927930277202,1.175495371443428,6.472756884100218,0.9988974936012701
0.7014552984199712,0.8375292821268826,0.8390155307687033,1.1961069118140337,1.1947451395943414,6.372345216087095,0.9988614962372995
0.6792036326171845,0.8241381150130023,0.8257336820017478,1.2157380236909763,1.214308710351247,6.273491231029426,0.9988243245568731
0.6576578373554205,0.8109610578538408,0.8126620885878807,1.2356913313095526,1.2341911282863347,6.1761707646419515,0.9987859403192317
0.6367955209079158,0.7979946872679766,0.7997974221264944,1.255972122709308,1.254397515536814,6.08036002749918,0.9987463040428817
0.6165950018614822,0.7852356346100718,0.7871364069064873,1.2765857727197685,1.2749330728198984,5.986035599220211,0.9987053749656406
0.5970352865838369,0.7726805850957024,0.7746758190721738,1.2975377443848828,1.295803080451769,5.893174422743751,0.9986631110034213
0.5780960474057181,0.7603262769401818,0.7624124858023986,1.3188335904108404,1.3170128993699446,5.801753798691957,0.9986194687077021
0.5597576014951101,0.7481695005111543,0.7503432845026463,1.340478954637655,1.3385679721584929,5.711751379821698,0.9985744032216615
0.5420008904016238,0.736207097494736,0.7384651420099394,1.362479573534898,1.3604738240754226,5.623145165561899,0.9985278682349185
0.5248074602497725,0.72443596007499,0.7267750338103236,1.3848412777219827,1.382736064081602,5.535913496635641,0.9984798159368532
0.5081594425605606,0.7128530301265196,0.7152699832687399,1.4075699935133976,1.4053603858704566,5.450035049765654,0.9984301969684466
0.4920395356814509,0.7014552984199712,0.7039470608710888,1.4306717444893045,1.4283525688977041,5.365488832461981,0.9983789603726128
0.4764309868054157,0.690239803840242,0.6928033834782921,1.4541526530919102,1.4517184794102755,5.282254177890496,0.9983260535429627
0.46131757456037936,0.6792036326171845,0.6818361135921637,1.4780189422480408,1.475464071473576,5.200310739820982,0.9982714221709643
0.4466835921509631,0.6683439175686146,0.6710424586329012,1.5022769370183469,1.4995953879961372,5.1196384876536465,0.9982150101914419
0.43251383103500873,0.6576578373554205,0.6604196702280164,1.526933066273574,1.5241185617506825,5.040217701522737,0.9981567597263709
0.4187935651179184,0.6471426157485832,0.6499650435125198,1.551993864398349,1.5490398163905585,4.962028967476145,0.9980966110269156
0.40550853544838383,0.6367955209079158,0.639675916440186,1.5774659730229246,1.5743654674604055,4.885053172729763,0.9980345024136543
0.3926449353995998,0.6266138646723354,0.6295496691057199,1.6033561427833498,1.6001019233999063,4.8092715009954965,0.9979703702149453
0.3801893963205612,0.6165950018614822,0.6195837230776552,1.6296712351105285,1.6262556865393436,4.734665427881711,0.9979041487033713
0.36812897364253144,0.6067363295885054,0.609775540741811,1.6564182240486411,1.6528333540856515,4.661216716365064,0.9978357700302116
0.35645113342624424,0.5970352865838369,0.6001226246551433,1.6836041981034096,1.6798416190975438,4.588907412332562,0.9977651641578796
0.34514373933585624,0.5874893525297767,0.5906225169098253,1.7112363621206983,1.707287271448248,4.517719840192787,0.9976922587902725
0.3341950400261142,0.5780960474057181,0.5812727985073927,1.7393220391959485,1.735177198774253,4.4476365985552,0.9976169793009628
0.32359365692962827,0.5688529308438415,0.572071088742799,1.7678686726149486,1.7635183874084224,4.37864055597647,0.9975392486591826
0.31332857243155854,0.5597576014951101,0.5630150445982193,1.7968838278264603,1.7923179232957027,4.310714846772789,0.9974589873535227
0.30338911841942706,0.5508076964054034,0.5541023601464512,1.8263751944472182,1.8215829928895764,4.24384286689716,0.9973761133132931
0.2937649651961531,0.5420008904016239,0.5453307659637601,1.8563505882998377,1.8513208840272921,4.178008269880626,0.9972905418274723
0.28444611074479154,0.5333348954876209,0.5366980285520192,1.8868179534841703,1.881538986781798,4.113194962836472,0.9972021854611759
0.2754228703338166,0.5248074602497725,0.5282019497699971,1.9177853644826532,1.9122447942881977,4.04938710252642,0.9971109539695804
0.2666858664521479,0.5164163692720709,0.519840366273648,1.9492610283002165,1.943445903542416,3.986569091487831,0.997016754209224
0.25822601906345966,0.5081594425605606,0.5116111489652636,1.9812532866393062,1.975150016169643,3.924725574221,0.996919490046618
0.25003453616964316,0.5000345349769785,0.5035122024513424,2.0137706181106116,2.007364939159994,3.8638414334355873,0.9968190622640887
0.2421029046736178,0.4920395356814509,0.4955414645090444,2.04682164048007,2.040098585568679,3.803901786355297,0.9967153684627772
0.2344228815319922,0.4841723675840993,0.4876969055610895,2.0804151129527537,2.0733589751778365,3.7448919810798538,0.9966083029627186
