h,chi,s_decimal,C_decimal,s_float,C_float,relative_peak_error,relative_location_error
0,0,3.0000000000000000000000000000000000000000000000000000000000000000000000000000000,0.32475952641916449253639618903235106880177598508944636776046380864723744067040001,3.0000000376829092,0.3247595264191645,0.0,1.2560969819830348e-08
0,0.1,2.7352118424293092353299512451989970793936978081033009013998224147337319850137856,0.33956359259507011431702951429771410578421725067306032214882827125443072425801249,2.7352118428232832,0.33956359259507013,0.0,1.4403789272421363e-10
0,0.5,2.1857511752934669032041548099841505286908154157248254663617918880321760846855066,0.37302474653374243797443942857273287577610210364591347715200283506716765795220203,2.1857511484109367,0.3730247465337425,2.220446049250313e-16,1.2298989382486525e-08
0,1,2.0271060883210665404886930922360310875231948459905312713993952053613017900129104,0.38316146250868537448582225913481803261651393751354160638813126156366030628932326,2.027106100343993,0.3831614625086854,0.0,5.931078961296521e-09
0,5,2.0000000030917304288784382195224848054320947086827274122116454138056382543875468,0.38490017926141591018668547381490277460721972394898559937595715659885661964787785,2.000000003473428,0.38490017926141595,2.220446049250313e-16,1.9084889224529888e-10
0,20,2.0000000000000000000000000000000000270727708176812275846819253602504109510990866,0.38490017945975050967276585366797163536168210981371774335127870409897843997716406,2.0000000003814478,0.3849001794597505,0.0,1.907238811327261e-10
0.001,0,2.9916568930328981497778731912489149839787902929101008885219997544082300401954232,0.32431424978753162417529094572205129832098240018476898518779386766792407035747055,2.9916568811158997,0.32431424978753165,0.0,3.983410823416023e-09
0.001,0.1,2.7276139774234341669131412200150037396159373230466403096854026683564136012630300,0.33915535004229139643405238465433650107677181254922564176001999403163741944297564,2.727614086151123,0.33915535004229136,1.1102230246251565e-16,3.986183161330814e-08
0.001,0.5,2.1794305469460905882006988793530725222327891752092898468429976512153482034667874,0.37271671201534135473661954738711883948732751930694345221549428805122357270271368,2.17943057224832,0.3727167120153414,2.220446049250313e-16,1.1609559757985721e-08
0.001,1,2.0210734691676037071616107872976443135111732445904267381539568698277255094948014,0.38288896058861316941992027746442768640387871710554354429056616528745572366224204,2.0210735023555637,0.38288896058861316,0.0,1.642095659448728e-08
0.001,5,1.9940119791346325177542098030867433502131718883490945795434093199413028211518904,0.38463405598698254038869008475586677821385402356644795860396297889080069470125727,1.99401193884254,0.3846340559869826,2.220446049250313e-16,2.0206544881773425e-08
0.001,20,1.9940119760479041916167664670658682905020237434271273303255691608324942604197858,0.38463405618604977966991615844475009734507895920801181358725919765715109633490939,1.9940120172543194,0.3846340561860498,0.0,2.066507898135228e-08
0.005,0,2.9584623913545782238498877259334246173390673171067416145883356576295071239074626,0.32254719926253302962943909229431405251852632646012414488809066655743118075449712,2.9584623767265383,0.32254719926253306,2.220446049250313e-16,4.9444737193482524e-09
0.005,0.1,2.6974145526041446734788122241064090103078342015925230430844385845405780524067910,0.33753597425361631024732915592543662255952339075813117857063421752229555345106116,2.6974145929456603,0.33753597425361626,1.1102230246251565e-16,1.4955623184320643e-08
0.005,0.5,2.1543713953162546983620509585180403858241177118446824439869733995490591349509786,0.37149778743382436132466618319597340336016291193513950480410275789805410197718767,2.1543714212037797,0.3714977874338244,0.0,1.2016277750603876e-08
0.005,1,1.9971779279084718217096180656852768197656178555557539432661419308997795397599800,0.38181225098357768948500828350384949283742785919126838281039276782358519092947891,1.9971779488947707,0.38181225098357774,2.220446049250313e-16,1.0507976488938198e-08
0.005,5,1.9702970327694329338092728224470083518488961696659297644248545473574944968741568,0.38358288609371832922629976843154761198562206671643018764336888989201398227042167,1.9702970614552473,0.3835828860937184,2.220446049250313e-16,1.455913190007152e-08
0.005,20,1.9702970297029702970297029702970297298218101540023669901501757417089722691322164,0.38358288629571918191536505019914709183776598699568736186053027267292011204003213,1.9702969862142932,0.3835828862957192,0.0,2.2072142669138373e-08
0.009,0,2.9255482032177916442990490167300032381547850295947287080554682732352511494587970,0.32080254985995963760404479678694202423930179132006283481307572287257620344729857,2.9255482795083796,0.32080254985995965,0.0,2.607736493409618e-08
0.009,0.1,2.6675172691506041382599332691834405363842927569530910179005249394552469136341890,0.33593824625407966454539862872914462448813932855880222037961463493443713117217317,2.6675173085439914,0.3359382462540796,1.1102230246251565e-16,1.476780964182467e-08
0.009,0.5,2.1296632730235777406810061603741944622593523885896803346406909768943933627184220,0.37029985621466492722224146675917725673658818135798925367006519086730010054012722,2.129663300443881,0.37029985621466494,0.0,1.2875417398916511e-08
0.009,1,1.9736516236750780406935267287588524855319179493585158497601870638260088365150354,0.38075664978375111898218293541601198862020531016242660477090179732167972549280446,1.9736516639888633,0.38075664978375107,1.1102230246251565e-16,2.0425988456196364e-08
0.009,5,1.9469548164053193628222374731268914280400216260989769048685276199458672204779264,0.38255286074956706180412234023066827310382557335036385296786825425768167173557559,1.9469547975531216,0.38255286074956707,0.0,9.682914914321827e-09
0.009,20,1.9469548133595284872298624754420432486744298981144701627372054583315412096460246,0.38255286095450593940731646522302034540245734488202647687064991693223172222711366,1.9469547752656529,0.38255286095450597,2.220446049250313e-16,1.9565875586380344e-08
