N_per_axis,radial_step,line_field_error_over_peak,sampled_line_peak_relative_bias
49,0.2427150392492763,3.362694835302518e-16,0.016211055885843262
65,0.18203627943695722,1.064853364512464e-15,0.008496075177184315
97,0.12135751962463814,7.846287949039208e-16,0.0004309671264641768
129,0.09101813971847861,7.03646034145396e-16,0.0002453971658283871
