frame,width_cells,reference_grid_peak,reference_peak_zyx_in_region,reference_distance_to_region_edge_cells,sampled_peak_ratio,conditional_status,model_retention_lower,model_retention_upper,false_reassurance_on_grid
laboratory,0.5,1.8677365107695112,"(31, 0, 31)",0,0.9946206904389514,resolved,0.9927567488327941,0.9930277263047917,False
laboratory,1.0,1.8677365107695112,"(31, 0, 31)",0,0.9729817984805138,resolved,0.9778524400226197,0.978137771035528,False
laboratory,1.5,1.8677365107695112,"(31, 0, 31)",0,0.9420577595289299,resolved,0.959022852489991,0.9593316771629508,False
laboratory,2.0,1.8677365107695112,"(31, 0, 31)",0,0.904500802650461,resolved,0.9458958319308036,0.9462282732706624,False
volume_mean_subtracted,0.5,1.2345824789283133,"(31, 0, 31)",0,0.9944485927796216,resolved,0.9915299649450834,0.991801395982071,False
volume_mean_subtracted,1.0,1.2345824789283133,"(31, 0, 31)",0,0.9686298019936848,resolved,0.9691852294730028,0.9694791731531954,False
volume_mean_subtracted,1.5,1.2345824789283133,"(31, 0, 31)",0,0.9300954312035065,resolved,0.937398352605536,0.9377319657763303,False
volume_mean_subtracted,2.0,1.2345824789283133,"(31, 0, 31)",0,0.8804658760982874,resolved,0.9039773418983315,0.904363348366315,True
