kind,frame,width,center,region_side,field,value,position,edge
event,laboratory,0.5,"[61, 51, 82]",25,0,1.8473175766312293,"[73, 49, 83]",0
event,laboratory,0.5,"[61, 51, 82]",25,1,1.7945453861989533,"[73, 49, 83]",0
event,laboratory,0.5,"[61, 51, 82]",25,2,1.6772801214817985,"[73, 49, 83]",0
event,laboratory,0.5,"[61, 51, 82]",25,3,1.7667762546033245,"[73, 49, 83]",0
event,laboratory,0.5,"[61, 51, 82]",25,4,1.7225863811984206,"[73, 49, 83]",0
event,laboratory,0.5,"[61, 51, 82]",25,5,1.6550049696349618,"[73, 49, 83]",0
event,laboratory,0.5,"[61, 51, 82]",33,0,1.990462168016117,"[75, 48, 83]",2
event,laboratory,0.5,"[61, 51, 82]",33,1,1.9491897572476096,"[75, 48, 83]",2
event,laboratory,0.5,"[61, 51, 82]",33,2,1.8932166182890535,"[76, 47, 84]",1
event,laboratory,0.5,"[61, 51, 82]",33,3,1.9045264323030613,"[75, 48, 83]",2
event,laboratory,0.5,"[61, 51, 82]",33,4,1.9016744882317427,"[76, 47, 84]",1
event,laboratory,0.5,"[61, 51, 82]",33,5,1.8555637703476826,"[76, 47, 84]",1
event,laboratory,0.5,"[67, 80, 79]",17,0,1.8235130910616928,"[69, 86, 71]",0
event,laboratory,0.5,"[67, 80, 79]",17,1,1.7835596268965759,"[69, 86, 71]",0
event,laboratory,0.5,"[67, 80, 79]",17,2,1.7357321151038532,"[69, 86, 71]",0
event,laboratory,0.5,"[67, 80, 79]",17,3,1.7294889643216467,"[70, 88, 72]",0
event,laboratory,0.5,"[67, 80, 79]",17,4,1.7326614542869287,"[69, 86, 71]",0
event,laboratory,0.5,"[67, 80, 79]",17,5,1.686300325474125,"[69, 86, 71]",0
event,laboratory,0.5,"[67, 80, 79]",25,0,1.8282725764835186,"[69, 85, 70]",3
event,laboratory,0.5,"[67, 80, 79]",25,1,1.7884602192437962,"[69, 85, 70]",3
event,laboratory,0.5,"[67, 80, 79]",25,2,1.7461093794155904,"[69, 84, 69]",2
event,laboratory,0.5,"[67, 80, 79]",25,3,1.741382622842041,"[71, 90, 73]",2
event,laboratory,0.5,"[67, 80, 79]",25,4,1.7430305235213424,"[69, 84, 68]",1
event,laboratory,0.5,"[67, 80, 79]",25,5,1.708517840153137,"[68, 83, 68]",1
event,laboratory,0.5,"[67, 80, 79]",33,0,1.9446596602206716,"[83, 76, 67]",0
event,laboratory,0.5,"[67, 80, 79]",33,1,1.912254694633624,"[83, 76, 68]",0
event,laboratory,0.5,"[67, 80, 79]",33,2,1.8449645394306897,"[83, 76, 69]",0
event,laboratory,0.5,"[67, 80, 79]",33,3,1.8922660602674892,"[83, 76, 68]",0
event,laboratory,0.5,"[67, 80, 79]",33,4,1.8700722860379493,"[83, 76, 69]",0
event,laboratory,0.5,"[67, 80, 79]",33,5,1.8270965927662488,"[83, 76, 69]",0
event,laboratory,0.5,"[80, 62, 45]",17,0,1.5833404084489608,"[81, 58, 38]",1
event,laboratory,0.5,"[80, 62, 45]",17,1,1.5367110459221998,"[81, 58, 38]",1
event,laboratory,0.5,"[80, 62, 45]",17,2,1.4497725589225197,"[81, 58, 38]",1
event,laboratory,0.5,"[80, 62, 45]",17,3,1.5047815433200022,"[81, 58, 38]",1
event,laboratory,0.5,"[80, 62, 45]",17,4,1.4765548462519769,"[81, 58, 38]",1
event,laboratory,0.5,"[80, 62, 45]",17,5,1.4248178040084234,"[81, 58, 38]",1
event,laboratory,0.5,"[80, 62, 45]",25,0,1.8150831024736698,"[92, 50, 33]",0
event,laboratory,0.5,"[80, 62, 45]",25,1,1.7913696974388682,"[92, 50, 33]",0
event,laboratory,0.5,"[80, 62, 45]",25,2,1.7319433677871081,"[92, 50, 33]",0
event,laboratory,0.5,"[80, 62, 45]",25,3,1.7754544757704394,"[92, 50, 33]",0
event,laboratory,0.5,"[80, 62, 45]",25,4,1.7562083298823117,"[92, 50, 33]",0
event,laboratory,0.5,"[80, 62, 45]",25,5,1.7198363551150087,"[92, 50, 33]",0
event,laboratory,0.5,"[80, 62, 45]",33,0,1.8665223870786054,"[94, 46, 50]",0
event,laboratory,0.5,"[80, 62, 45]",33,1,1.8554317203388713,"[94, 46, 50]",0
event,laboratory,0.5,"[80, 62, 45]",33,2,1.842469508333884,"[96, 46, 49]",0
event,laboratory,0.5,"[80, 62, 45]",33,3,1.8530163137318816,"[95, 46, 50]",0
event,laboratory,0.5,"[80, 62, 45]",33,4,1.84749692216046,"[96, 46, 49]",0
event,laboratory,0.5,"[80, 62, 45]",33,5,1.8404625771685867,"[96, 46, 49]",0
event,laboratory,0.5,"[50, 44, 67]",17,0,1.2559801688908065,"[42, 41, 75]",0
event,laboratory,0.5,"[50, 44, 67]",17,1,1.2501258316456494,"[42, 45, 75]",0
event,laboratory,0.5,"[50, 44, 67]",17,2,1.243196338501996,"[42, 36, 75]",0
event,laboratory,0.5,"[50, 44, 67]",17,3,1.2466852443623273,"[42, 45, 75]",0
event,laboratory,0.5,"[50, 44, 67]",17,4,1.2458211998264426,"[42, 45, 75]",0
event,laboratory,0.5,"[50, 44, 67]",17,5,1.2454819753254678,"[42, 36, 75]",0
event,laboratory,0.5,"[50, 44, 67]",25,0,1.5353630679157362,"[51, 32, 79]",0
event,laboratory,0.5,"[50, 44, 67]",25,1,1.5266665512453694,"[51, 32, 79]",0
event,laboratory,0.5,"[50, 44, 67]",25,2,1.5095014880766622,"[51, 32, 79]",0
event,laboratory,0.5,"[50, 44, 67]",25,3,1.5144448040842304,"[51, 32, 79]",0
event,laboratory,0.5,"[50, 44, 67]",25,4,1.513558212638334,"[51, 32, 79]",0
event,laboratory,0.5,"[50, 44, 67]",25,5,1.4989924382952884,"[51, 32, 79]",0
event,laboratory,0.5,"[50, 44, 67]",33,0,1.611741025608463,"[51, 33, 83]",0
event,laboratory,0.5,"[50, 44, 67]",33,1,1.5855102013534905,"[51, 33, 83]",0
event,laboratory,0.5,"[50, 44, 67]",33,2,1.550772259598864,"[52, 31, 81]",2
event,laboratory,0.5,"[50, 44, 67]",33,3,1.5639044862521376,"[52, 31, 81]",2
event,laboratory,0.5,"[50, 44, 67]",33,4,1.5593451733805175,"[52, 31, 81]",2
event,laboratory,0.5,"[50, 44, 67]",33,5,1.5387176113139451,"[52, 31, 81]",2
event,laboratory,0.5,"[51, 80, 54]",17,0,1.4769962608428333,"[59, 78, 62]",0
event,laboratory,0.5,"[51, 80, 54]",17,1,1.4647542760485353,"[59, 78, 62]",0
event,laboratory,0.5,"[51, 80, 54]",17,2,1.447644726668176,"[59, 78, 62]",0
event,laboratory,0.5,"[51, 80, 54]",17,3,1.4555723893196777,"[59, 78, 62]",0
event,laboratory,0.5,"[51, 80, 54]",17,4,1.451635679373204,"[59, 78, 62]",0
event,laboratory,0.5,"[51, 80, 54]",17,5,1.4418123995841723,"[59, 78, 62]",0
event,laboratory,0.5,"[51, 80, 54]",25,0,1.7151849194025255,"[63, 77, 65]",0
event,laboratory,0.5,"[51, 80, 54]",25,1,1.699858751627047,"[63, 78, 64]",0
event,laboratory,0.5,"[51, 80, 54]",25,2,1.6789145038521556,"[63, 78, 64]",0
event,laboratory,0.5,"[51, 80, 54]",25,3,1.6899631371272315,"[63, 78, 64]",0
event,laboratory,0.5,"[51, 80, 54]",25,4,1.6843096484461677,"[63, 78, 64]",0
event,laboratory,0.5,"[51, 80, 54]",25,5,1.670355792243465,"[63, 78, 65]",0
event,laboratory,0.5,"[51, 80, 54]",33,0,1.7373437282887303,"[65, 82, 63]",2
event,laboratory,0.5,"[51, 80, 54]",33,1,1.7180814686331183,"[65, 82, 63]",2
event,laboratory,0.5,"[51, 80, 54]",33,2,1.6835075148633896,"[65, 82, 64]",2
event,laboratory,0.5,"[51, 80, 54]",33,3,1.699509220830245,"[65, 82, 63]",2
event,laboratory,0.5,"[51, 80, 54]",33,4,1.69249964564404,"[65, 82, 63]",2
event,laboratory,0.5,"[51, 80, 54]",33,5,1.680936984028934,"[67, 82, 67]",0
central,laboratory,1.0,64_64_64,32,0,1.8677365107695112,"[79, 48, 79]",0
