frame,event,center,width,reference,sampled_ratio,status,lower,upper,interval_covers_sampled_ratio,false_reassurance,minimum_edge_cells,max_relative_expansion_change,heldout_relative_miss,truncation_relative_change,screen_pass_0.005,screen_status_0.005,screen_pass_0.01,screen_status_0.01,screen_pass_0.02,screen_status_0.02
laboratory,0,"[65, 82, 63]",0.5,1.8282725764835186,0.9782240581892351,resolved,0.9838798808281544,0.9841630617362689,False,False,0,0.0033275472926215244,0.00531209202474599,1.468121387330949e-06,False,abstain,False,abstain,False,abstain
laboratory,1,"[82, 67, 75]",0.5,2.213389299815148,0.975769623564699,resolved,0.9791375055237146,0.9794209076582875,False,False,8,0.0,0.005081550050619002,2.433463879991539e-06,False,abstain,True,resolved,True,resolved
laboratory,2,"[61, 51, 82]",0.5,1.990462168016117,0.9792649107168696,resolved,0.9822047810774329,0.9824881047738194,False,False,1,0.1287420592670503,0.0023980197372844903,2.117074192788438e-06,False,abstain,False,abstain,False,abstain
laboratory,3,"[67, 80, 79]",0.5,1.9446596602206716,0.9833364334901818,resolved,0.9842972399619275,0.9845755867363893,False,False,0,0.08664576954328251,0.002498680992574961,1.7004263485380384e-06,False,abstain,False,abstain,False,abstain
laboratory,4,"[80, 62, 45]",0.5,1.8665223870786054,0.9940581121252487,resolved,0.99709001208518,0.9973593916073246,False,False,0,0.07013819756444883,0.0005430147367795189,5.33835695223076e-07,False,abstain,False,abstain,False,abstain
laboratory,5,"[50, 44, 67]",0.5,1.611741025608463,0.9837251618974768,resolved,0.9878178614496276,0.9880958480001802,False,False,0,0.0497458609554875,0.0051462343546171685,1.3408701789713613e-06,False,abstain,False,abstain,False,abstain
laboratory,6,"[51, 80, 54]",0.5,1.7373437282887303,0.9889128102044693,resolved,0.989403370186834,0.989678728263164,False,False,0,0.012919195263169536,0.008507517322518898,1.1751698427059698e-06,False,abstain,False,abstain,False,abstain
laboratory,0,"[65, 82, 63]",1.0,1.8282725764835186,0.9344984233364607,resolved,0.9769979836051791,0.977297571774773,False,False,9,0.0,0.014754018132920935,1.0984107049754874e-05,False,abstain,False,abstain,True,resolved
laboratory,1,"[82, 67, 75]",1.0,2.213389299815148,0.9195904912411066,resolved,0.9586662953984925,0.9589789604331125,False,False,8,0.0,0.00895280147104621,1.2253445320701053e-05,False,abstain,True,resolved,True,resolved
laboratory,2,"[61, 51, 82]",1.0,1.990462168016117,0.9322276002849695,resolved,0.9602835891200927,0.9605963044764477,False,False,0,0.16535255062288967,0.007354498183952369,1.2342394138281853e-05,False,abstain,False,abstain,False,abstain
laboratory,3,"[67, 80, 79]",1.0,1.9446596602206716,0.9395456851091968,resolved,0.9654407828650985,0.965743764496691,False,False,0,0.06940445679073703,0.015313338288260306,9.454657774140406e-06,False,abstain,False,abstain,False,abstain
laboratory,4,"[80, 62, 45]",1.0,1.8665223870786054,0.986038308412252,resolved,0.9905651608481016,0.9908394738880187,False,False,0,0.12575113875945432,9.451932993106735e-05,6.4780915759227995e-06,False,abstain,False,abstain,False,abstain
laboratory,5,"[50, 44, 67]",1.0,1.611741025608463,0.95469283642082,resolved,0.9851301888253341,0.9854173723088437,False,False,0,0.0497458609554875,0.006341312146317174,9.655671711977327e-06,False,abstain,False,abstain,False,abstain
laboratory,6,"[51, 80, 54]",1.0,1.7373437282887303,0.9675327666360206,resolved,0.9881047912739918,0.988386630128308,False,False,0,0.012919195263169536,0.002233224645042006,1.1558991677488413e-05,False,abstain,False,abstain,False,abstain
laboratory,0,"[65, 82, 63]",1.5,1.8282725764835186,0.9036390464132175,resolved,0.9799115258505124,0.980217891357974,False,False,9,0.0,0.0007659774717466124,2.1800367164855643e-05,True,resolved,True,resolved,True,resolved
laboratory,1,"[82, 67, 75]",1.5,2.213389299815148,0.8675087074455895,resolved,0.9467572463775371,0.9470945195366629,False,True,8,0.0,0.012747524519209902,1.5752757200345625e-05,False,abstain,False,abstain,True,resolved
laboratory,2,"[61, 51, 82]",1.5,1.990462168016117,0.8799629385999372,resolved,0.9449950278410587,0.9453392414602746,False,True,0,0.1285242581908319,0.009449446434008236,1.6229703184949268e-05,False,abstain,False,abstain,False,abstain
laboratory,3,"[67, 80, 79]",1.5,1.9446596602206716,0.893892423394886,resolved,0.9690171407518491,0.9693340435111827,False,True,0,0.06365959060711335,0.008170272920817394,1.5558300070868956e-05,False,abstain,False,abstain,False,abstain
laboratory,4,"[80, 62, 45]",1.5,1.8665223870786054,0.9742929574811977,resolved,0.9830209045725333,0.9833022269611391,False,False,0,0.14155955321555447,0.002158566243530067,1.8526256797920116e-05,False,abstain,False,abstain,False,abstain
laboratory,5,"[50, 44, 67]",1.5,1.611741025608463,0.9361024555699204,resolved,0.9800423199519084,0.9803363160146417,False,False,0,0.0497458609554875,0.0038461520304307324,2.2050857520060813e-05,False,abstain,False,abstain,False,abstain
laboratory,6,"[51, 80, 54]",1.5,1.7373437282887303,0.950933577907641,resolved,0.9799191462277812,0.9802102746945042,False,False,0,0.012919195263169536,0.0008310418565208868,2.2941351671402505e-05,False,abstain,False,abstain,False,abstain
laboratory,0,"[65, 82, 63]",2.0,1.8282725764835186,0.8886425157390249,resolved,0.9706017174973319,0.9709193939104681,False,True,0,0.02339861401078802,0.012534653468617648,2.1800367164855643e-05,False,abstain,False,abstain,False,abstain
laboratory,1,"[82, 67, 75]",2.0,2.213389299815148,0.8241675183343674,resolved,0.9478506438052877,0.9482052129092049,False,True,0,0.01236183774450117,0.01622640651932048,1.6342465888407206e-05,False,abstain,False,abstain,False,abstain
laboratory,2,"[61, 51, 82]",2.0,1.990462168016117,0.8362450519104195,resolved,0.9322344862450899,0.9326081376045484,False,True,0,0.1314294658948878,0.02957265968806291,2.0627938790454626e-05,False,abstain,False,abstain,False,abstain
laboratory,3,"[67, 80, 79]",2.0,1.9446596602206716,0.8647076737308732,resolved,0.9699735163976719,0.9702995170948782,False,True,0,0.06365959060711335,0.008018040153444119,2.070442680953566e-05,False,abstain,False,abstain,False,abstain
laboratory,4,"[80, 62, 45]",2.0,1.8665223870786054,0.9594207641061303,resolved,0.9761597789241585,0.9764496556857134,False,False,0,0.1392905698443967,0.003311929965974623,3.127961104779926e-05,False,abstain,False,abstain,False,abstain
laboratory,5,"[50, 44, 67]",2.0,1.611741025608463,0.9205610830313585,resolved,0.9728074389451453,0.973109221595996,False,False,0,0.05356445465018855,0.004904998877863183,2.967749517314522e-05,False,abstain,False,abstain,False,abstain
laboratory,6,"[51, 80, 54]",2.0,1.7373437282887303,0.9351521609504875,resolved,0.9781749122687694,0.9784744539833286,False,False,0,0.03403014192930631,0.012411230618292385,2.2941351671402505e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,0,"[56, 53, 83]",0.5,1.297723429222333,0.9800813078245223,resolved,0.9740282027445186,0.9743207049492486,False,False,0,0.09200540277516689,0.0011951756872401874,2.5679352746026375e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,1,"[82, 49, 72]",0.5,1.4546031207451233,0.9751466749505286,resolved,0.9722880652192402,0.9725803747618317,False,False,0,0.002150529657058531,0.003881022431317623,2.278886584792233e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,2,"[66, 83, 63]",0.5,1.0658111541856423,0.9716963380990387,resolved,0.9769196680368423,0.9772070746757381,False,False,0,0.01090870851118031,0.02077478801402028,2.656449906678135e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,3,"[75, 65, 69]",0.5,1.4193143321323143,0.958903573278148,resolved,0.9718633632175974,0.9721587269911006,False,False,0,0.09978863348518696,0.017599213930740782,3.4285977784990446e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,4,"[65, 68, 56]",0.5,1.2100269811788424,0.9887747959963834,resolved,0.986885015265393,0.9871590626974343,False,False,0,0.27600253711970213,0.001610293756779599,1.6212308438444446e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,5,"[50, 55, 55]",0.5,1.2741177063590192,0.9901572477214174,resolved,0.9885091972521586,0.9887861669552356,False,False,0,0.3068202250373564,0.0010379307274488814,2.008324241894224e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,6,"[81, 73, 52]",0.5,1.4807221939311397,0.9894182797069353,resolved,0.9897387804298573,0.9900125985141246,False,False,0,0.12115704274603245,0.002476867295630219,1.5701633031790498e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,7,"[47, 79, 75]",0.5,0.9489362979655881,0.9701621528060551,resolved,0.9848763484099721,0.985159322548256,False,False,0,0.06844407892407323,0.007497983072469043,1.5581985901058003e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,0,"[56, 53, 83]",1.0,1.297723429222333,0.911082743231268,resolved,0.9320144163207581,0.9323685863050047,False,False,0,0.0773100365845456,0.015888250608662044,1.5691088099323412e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,1,"[82, 49, 72]",1.0,1.4546031207451233,0.9038268187278002,resolved,0.9730919591795529,0.973398543272264,False,False,0,0.0815035941068687,0.006120749123218051,9.612560818891229e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,2,"[66, 83, 63]",1.0,1.0658111541856423,0.886623557254301,resolved,0.9738820966472266,0.9742058832441399,False,True,0,0.08036236602153823,0.008113473044635864,1.53879806096964e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,3,"[75, 65, 69]",1.0,1.4193143321323143,0.8715169610415221,resolved,0.9551162830134753,0.955452888516379,False,True,0,0.09978863348518696,0.0065307077860711875,1.689083300732402e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,4,"[65, 68, 56]",1.0,1.2100269811788424,0.950891974900362,resolved,0.969836687568205,0.9701301560646124,False,False,0,0.27600253711970213,0.007194314436998431,1.261821367782789e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,5,"[50, 55, 55]",1.0,1.2741177063590192,0.957456330069947,resolved,0.9723629430016079,0.9726598746636463,False,False,0,0.29813118016438245,0.02288907015700144,8.391837921281873e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,6,"[81, 73, 52]",1.0,1.4807221939311397,0.9597965749948003,resolved,0.9737893216852366,0.9740799185800131,False,False,0,0.1479586287753909,0.0013719170157855337,1.687485262964892e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,7,"[47, 79, 75]",1.0,0.9489362979655881,0.9358304511890382,resolved,0.9749409282180553,0.9752400008523796,False,False,0,0.06844407892407323,0.0019260859571874163,1.923126966334039e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,0,"[56, 53, 83]",1.5,1.297723429222333,0.8357980194355659,resolved,0.9343857503796702,0.934760175141834,False,True,0,0.04866014479375025,0.018861096143349396,3.296781150871237e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,1,"[82, 49, 72]",1.5,1.4546031207451233,0.8677926368613876,resolved,0.9632412294346204,0.9635663303362073,False,True,0,0.08375544609063423,0.009798555532625614,2.5970526329553187e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,2,"[66, 83, 63]",1.5,1.0658111541856423,0.8511112789137046,resolved,0.9576554164099532,0.9580051929788338,False,True,0,0.12957465145553293,0.020495134667525432,1.9326094036696298e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,3,"[75, 65, 69]",1.5,1.4193143321323143,0.8176385330629382,resolved,0.9302615036431832,0.9306467510059467,False,True,0,0.09978863348518696,0.03004091108021757,2.581366269974902e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,4,"[65, 68, 56]",1.5,1.2100269811788424,0.9084991761288259,resolved,0.9565694577433244,0.956886274224407,False,False,0,0.23885555330667874,0.016950673252207882,1.4459541568316271e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,5,"[50, 55, 55]",1.5,1.2741177063590192,0.9235389690189302,resolved,0.9829518852128384,0.9832526074124028,False,False,0,0.2842476094409314,0.01128383671420507,8.391837921281873e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,6,"[81, 73, 52]",1.5,1.4807221939311397,0.9274390638702991,resolved,0.9500122132641015,0.9503265504820317,False,False,0,0.16753044475674916,0.007046903118295486,2.7449299489430967e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,7,"[47, 79, 75]",1.5,0.9489362979655881,0.9050060361396551,resolved,0.9551095839301422,0.9554333380784628,False,False,0,0.10208791618075219,0.008488414603588111,3.554424023786109e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,0,"[56, 53, 83]",2.0,1.297723429222333,0.7733168185624208,resolved,0.9292408089357627,0.929644233114818,False,True,0,0.04866014479375025,0.007309331946897177,4.142325693939696e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,1,"[82, 49, 72]",2.0,1.4546031207451233,0.8345274524656925,resolved,0.9542346181050505,0.9545797387681789,False,True,0,0.07257120400797601,0.011155676427526006,4.146539800338626e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,2,"[66, 83, 63]",2.0,1.0658111541856423,0.8139126332696865,resolved,0.9494826611904276,0.9498479973161408,False,True,0,0.14051417335949457,0.03111816047531441,2.899849680932028e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,3,"[75, 65, 69]",2.0,1.4193143321323143,0.7665814424138818,resolved,0.9360359335179086,0.9364346242061231,False,True,0,0.120861093337566,0.02521208498611489,4.1283721633993044e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,4,"[65, 68, 56]",2.0,1.2100269811788424,0.8675909786306134,resolved,0.9609734587707028,0.9613062028938639,False,True,0,0.1986368628665358,0.014570546470741344,1.5238745583315082e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,5,"[50, 55, 55]",2.0,1.2741177063590192,0.9065456977919947,resolved,0.9882793121173186,0.9885813966619738,False,False,0,0.28209940657808286,0.00966952213139379,7.801077188019582e-06,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,6,"[81, 73, 52]",2.0,1.4807221939311397,0.8899773738784293,resolved,0.9274473822766357,0.9277898616304991,False,True,0,0.18523518501467473,0.01565185272063996,4.2201932864602715e-05,False,abstain,False,abstain,False,abstain
original_64_mean_subtracted,7,"[47, 79, 75]",2.0,0.9489362979655881,0.871673795660734,resolved,0.9335435865834883,0.9338969166032043,False,True,0,0.16281740963784097,0.01931082412809542,3.684807801662077e-05,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,0,"[56, 53, 83]",0.5,1.5320887712489424,0.9714370282657737,resolved,0.9847800712649951,0.9850644032186847,False,False,0,0.021299173474306876,0.015101926104066804,2.8016700469416048e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,1,"[82, 50, 78]",0.5,1.4938085973692121,0.9716082743662364,resolved,0.9819465858121329,0.9822334838171295,False,False,0,0.04223382411910159,0.012999446468522862,1.9482039418250605e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,2,"[83, 76, 63]",0.5,1.6083154884565465,0.9635878518184022,resolved,0.9655728099490812,0.9658757233344015,False,False,4,0.0,0.00862767302345411,3.0593446348753556e-06,False,abstain,True,resolved,True,resolved
expanded_128_mean_subtracted,3,"[65, 82, 62]",0.5,1.3206604955022516,0.9797934596111334,resolved,0.9885461574550372,0.9888276030667151,False,False,0,0.03911101874827638,0.012331031390660326,2.1489921265620768e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,4,"[46, 79, 74]",0.5,1.14077081559416,0.9805100860615059,resolved,0.9818196444078785,0.9820997760854195,False,False,0,0.1670331626570969,0.00546547426548574,1.4329566278458318e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,5,"[52, 63, 46]",0.5,1.6669165102123926,0.9762319179156518,resolved,0.9766086461352868,0.9768927585594561,False,False,0,0.3196781568913918,0.0033243657439235197,2.183289835527593e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,6,"[51, 64, 69]",0.5,1.5246602205727082,0.9761701282023169,resolved,0.9776727119958206,0.977957768989765,False,False,1,0.10563152690402777,0.003332988777452898,2.815320529613721e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,7,"[58, 81, 47]",0.5,1.6070338126129207,0.9875745028693992,resolved,0.9887341718506615,0.9890088236521308,False,False,0,0.3036808798702455,0.0017689727848453028,1.0940784574244312e-06,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,0,"[56, 53, 83]",1.0,1.5320887712489424,0.9133712984415651,resolved,0.9665189817213822,0.9668351100909631,False,False,0,0.013579665651520578,0.012667361677413707,1.2853075845983913e-05,False,abstain,False,abstain,False,abstain
expanded_128_mean_subtracted,1,"[82, 50, 78]",1.0,1.4938085973692121,0.9350582439001175,resolved,0.9677086438292939,0.9680192327752127,False,False,0,0.1124334606258004,0.0021687422892683575,1.1201538606898045e-05,False,abstain,False,abstain,False,abstain
